ADM3_PCODE,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN
RW3106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Murambi,RW3106,
RW3107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Murundi,RW3107,
RW3108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Mutuntu,RW3108,
RW3109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rubengera,RW3109,
RW3110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rugabano,RW3110,
RW3111,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Ruganda,RW3111,
RW3112,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rwankuba,RW3112,
RW3113,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Twumba,RW3113,
RW3201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Boneza,RW3201,
RW3202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Gihango,RW3202,
RW3203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Kigeyo,RW3203,
RW3204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Kivumu,RW3204,
RW3205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Manihira,RW3205,
RW3206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Mukura,RW3206,
RW3207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Murunda,RW3207,
RW3208,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Musasa,RW3208,
RW3209,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Mushonyi,RW3209,
RW3210,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Mushubati,RW3210,
RW3211,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Nyabirasi,RW3211,
RW3212,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Ruhango,RW3212,
RW3213,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Rusebeya,RW3213,
RW3301,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Bugeshi,RW3301,
RW3302,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Busasamana,RW3302,
RW3303,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Cyanzarwe,RW3303,
RW3304,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Gisenyi,RW3304,
RW3305,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Kanama,RW3305,
RW3306,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Kanzenze,RW3306,
RW3307,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Mudende,RW3307,
RW3308,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Nyakiriba,RW3308,Nyakiliba
RW3309,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Nyamyumba,RW3309,
RW3310,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Nyundo,RW3310,
RW3311,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Rubavu,RW3311,
RW3312,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rubavu,RW33,Rugerero,RW3312,
RW3401,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Bigogwe,RW3401,
RW3402,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Jenda,RW3402,
RW3403,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Jomba,RW3403,
RW3404,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Kabatwa,RW3404,
RW3405,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Karago,RW3405,
RW3406,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Kintobo,RW3406,
RW3407,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Mukamira,RW3407,
RW3408,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Muringa,RW3408,
RW3409,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Rambura,RW3409,
RW3410,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Rugera,RW3410,
RW3411,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Rurembo,RW3411,
RW3412,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyabihu,RW34,Shyira,RW3412,
RW3501,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Bwira,RW3501,
RW3502,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Gatumba,RW3502,
RW3503,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Hindiro,RW3503,
RW3504,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Kabaya,RW3504,
RW3505,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Kageyo,RW3505,
RW3506,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Kavumu,RW3506,
RW3507,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Matyazo,RW3507,
RW3508,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Muhanda,RW3508,
RW3509,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Muhororo,RW3509,
RW3510,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Ndaro,RW3510,
RW3511,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Ngororero,RW3511,
RW3512,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Nyange,RW3512,
RW3513,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Ngororero,RW35,Sovu,RW3513,
RW3601,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Bugarama,RW3601,
RW3602,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Butare,RW3602,
RW3603,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Bweyeye,RW3603,
RW3604,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Gashonga,RW3604,
RW3605,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Giheke,RW3605,
RW3606,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Gihundwe,RW3606,
RW3607,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Gikundamvura,RW3607,
RW3608,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Gitambi,RW3608,
RW3609,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Kamembe,RW3609,
RW3610,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Muganza,RW3610,
RW3611,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Mururu,RW3611,
RW3612,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nkanka,RW3612,
RW3613,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nkombo,RW3613,
RW3614,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nkungu,RW3614,
RW3615,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nyakabuye,RW3615,
RW3616,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nyakarenzo,RW3616,
RW3617,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Nzahaha,RW3617,
RW3618,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rusizi,RW36,Rwimbogo,RW3618,
RW3701,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Bushekeri,RW3701,
RW3702,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Bushenge,RW3702,
RW3703,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Cyato,RW3703,
RW3704,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Gihombo,RW3704,
RW3705,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Kagano,RW3705,
RW3706,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Kanjongo,RW3706,
RW3707,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Karambi,RW3707,
RW3708,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Karengera,RW3708,
RW3709,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Kirimbi,RW3709,
RW3710,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Macuba,RW3710,
RW3711,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Mahembe,RW3711,
RW3712,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Nyabitekeri,RW3712,
RW3713,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Rangiro,RW3713,
RW3714,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Ruharambuga,RW3714,
RW3715,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Nyamasheke,RW37,Shangi,RW3715,
RW4101,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Base,RW4101,
RW4102,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Burega,RW4102,
RW4103,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Bushoki,RW4103,
RW4104,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Buyoga,RW4104,
RW4105,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Cyinzuzi,RW4105,
RW4106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Cyungo,RW4106,
RW4107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Kinihira,RW4107,
RW4108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Kisaro,RW4108,
RW4109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Masoro,RW4109,
RW4110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Mbogo,RW4110,
RW4111,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Murambi,RW4111,
RW4112,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Ngoma,RW4112,
RW4113,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Ntarabana,RW4113,
RW4114,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Rukozo,RW4114,
RW4115,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Rusiga,RW4115,
RW4116,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Shyrongi,RW4116,Shyorongi
RW4117,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Rulindo,RW41,Tumba,RW4117,
RW4201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Busengo,RW4201,
RW4202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Coko,RW4202,
RW4203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Cyabingo,RW4203,
RW4204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Gakenke,RW4204,
RW4205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Gashenyi,RW4205,
RW4206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Janja,RW4206,
RW4207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Kamubuga,RW4207,
RW4208,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Karambo,RW4208,
RW4209,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Kivuruga,RW4209,
RW4210,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Mataba,RW4210,
RW4211,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Minazi,RW4211,
RW4212,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Mugunga,RW4212,
RW4213,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Muhondo,RW4213,
RW4214,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Muyongwe,RW4214,
RW4215,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Muzo,RW4215,
RW4216,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Nemba,RW4216,
RW4217,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Ruli,RW4217,
RW4218,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Rusasa,RW4218,
RW4219,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gakenke,RW42,Rushashi,RW4219,
RW4301,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Busogo,RW4301,
RW4302,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Cyuve,RW4302,
RW4303,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Gacaca,RW4303,
RW4304,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Gashaki,RW4304,
RW4305,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Gataraga,RW4305,
RW4306,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Kimonyi,RW4306,
RW4307,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Kinigi,RW4307,
RW4308,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Muhoza,RW4308,
RW4309,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Muko,RW4309,
