ADM3_PCODE,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN
RW4310,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Musanze,RW4310,
RW4311,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Nkotsi,RW4311,
RW4312,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Nyange,RW4312,
RW4313,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Remera,RW4313,
RW4314,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Rwaza,RW4314,
RW4315,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Musanze,RW43,Shingiro,RW4315,
RW4401,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Bungwe,RW4401,
RW4402,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Butaro,RW4402,
RW4403,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Cyanika,RW4403,
RW4404,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Cyeru,RW4404,
RW4405,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Gahunga,RW4405,
RW4406,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Gatebe,RW4406,
RW4407,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Gitovu,RW4407,
RW4408,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Kagogo,RW4408,
RW4409,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Kinoni,RW4409,
RW4410,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Kinyababa,RW4410,
RW4411,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Kivuye,RW4411,
RW4412,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Nemba,RW4412,
RW4413,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Rugarama,RW4413,
RW4414,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Rugengabari,RW4414,
RW4415,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Ruhunde,RW4415,
RW4416,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Rusarabuye,RW4416,Rusarabuge
RW4417,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Burera,RW44,Rwerere,RW4417,
RW4501,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Bukure,RW4501,
RW4502,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Bwisige,RW4502,
RW4503,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Byumba,RW4503,
RW4504,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Cyumba,RW4504,
RW4505,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Giti,RW4505,
RW4506,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Kageyo,RW4506,
RW4507,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Kaniga,RW4507,
RW4508,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Manyagiro,RW4508,
RW4509,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Miyove,RW4509,
RW4510,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Mukarange,RW4510,
RW4511,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Muko,RW4511,
RW4512,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Mutete,RW4512,
RW4513,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Nyamiyaga,RW4513,
RW4514,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Nyankenke,RW4514,
RW4515,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Rubaya,RW4515,
RW4516,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Rukomo,RW4516,
RW4517,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Rushaki,RW4517,
RW4518,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Rutare,RW4518,
RW4519,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Ruvune,RW4519,
RW4520,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Rwamiko,RW4520,
RW4521,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Northern Province,Province du Nord,Amajyaruguru,RW4,Gicumbi,RW45,Shangasha,RW4521,
RW5101,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Fumbwe,RW5101,
RW5102,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Gahengeri,RW5102,
RW5103,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Gishali,RW5103,Gishari
RW5104,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Karenge,RW5104,
RW5105,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Kigabiro,RW5105,
RW5106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Muhazi,RW5106,
RW5107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Munyaga,RW5107,
RW5108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Munyiginya,RW5108,
RW5109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Musha,RW5109,
RW5110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Muyumbu,RW5110,
RW5111,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Mwulire,RW5111,
RW5112,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Nyakaliro,RW5112,Nyakariro
RW5113,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Nzige,RW5113,
RW5114,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwamagana,RW51,Rubona,RW5114,
RW5201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Gatunda,RW5201,
RW5202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Karama,RW5202,
RW5203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Karangazi,RW5203,
RW5204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Katabagemu,RW5204,
RW5205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Kiyombe,RW5205,
RW5206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Matimba,RW5206,
RW5207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Mimuri,RW5207,Mimuri
RW5208,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Mukama,RW5208,
RW5209,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Musheri,RW5209,Musheli
RW5210,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Nyagatare,RW5210,
RW5211,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Rukomo,RW5211,
RW5212,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Rwempasha,RW5212,
RW5213,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Rwimiyaga,RW5213,
RW5214,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Nyagatare,RW52,Tabagwe,RW5214,
RW5301,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Gasange,RW5301,
RW5302,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Gatsibo,RW5302,
RW5303,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Gitoki,RW5303,
RW5304,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Kabarore,RW5304,
RW5305,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Kageyo,RW5305,
RW5306,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Kiramuruzi,RW5306,
RW5307,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Kiziguro,RW5307,
RW5308,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Muhura,RW5308,
RW5309,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Murambi,RW5309,
RW5310,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Ngarama,RW5310,
RW5311,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Nyagihanga,RW5311,
RW5312,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Remera,RW5312,
RW5313,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Rugarama,RW5313,
RW5314,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Gatsibo,RW53,Rwimbogo,RW5314,
RW5401,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Gahini,RW5401,
RW5402,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Kabare,RW5402,
RW5403,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Kabarondo,RW5403,
RW5404,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Mukarange,RW5404,
RW5405,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Murama,RW5405,
RW5406,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Murundi,RW5406,
RW5407,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Mwiri,RW5407,
RW5408,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Ndego,RW5408,
RW5409,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Nyamirama,RW5409,
RW5410,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Rukara,RW5410,
RW5411,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Ruramira,RW5411,
RW5412,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kayonza,RW54,Rwinkwavu,RW5412,
RW5501,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Gahara,RW5501,
RW5502,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Gatore,RW5502,
RW5503,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Kigarama,RW5503,
RW5504,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Kigina,RW5504,
RW5505,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Kirehe,RW5505,
RW5506,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Mahama,RW5506,
RW5507,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Mpanga,RW5507,
RW5508,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Musaza,RW5508,
RW5509,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Mushikiri,RW5509,
RW5510,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Nasho,RW5510,
RW5511,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Nyamugari,RW5511,Nyamugali
RW5512,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Kirehe,RW55,Nyarubuye,RW5512,
RW5601,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Gashanda,RW5601,
RW5602,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Jarama,RW5602,
RW5603,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Karembo,RW5603,
RW5604,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Kazo,RW5604,
RW5605,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Kibungo,RW5605,
RW5606,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Mugesera,RW5606,
RW5607,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Murama,RW5607,
RW5608,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Mutenderi,RW5608,
RW5609,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Remera,RW5609,
RW5610,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Rukira,RW5610,
RW5611,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Rukumberi,RW5611,
RW5612,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Rurenge,RW5612,
RW5613,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Sake,RW5613,
RW5614,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Ngoma,RW56,Zaza,RW5614,
RW5701,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Gashora,RW5701,
RW5702,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Juru,RW5702,
RW5703,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Kamabuye,RW5703,
RW5704,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Mareba,RW5704,
RW5705,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Mayange,RW5705,
RW5706,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Musenyi,RW5706,
RW5707,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Mwogo,RW5707,
RW5708,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Ngeruka,RW5708,
RW5709,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Ntarama,RW5709,
RW5710,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Nyamata,RW5710,
RW5711,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Nyarugenge,RW5711,
RW5712,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Rilima,RW5712,
RW5713,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Ruhuha,RW5713,
RW5714,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Rweru,RW5714,
RW5715,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Bugesera,RW57,Shyara,RW5715,
